websites,vendor,country_of_origin,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,old_sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order,package_width,package_height,package_depth
"A, H",Astek,US,Digital,Studio,Kahala,Hana,KA100,Seclusion,Color Way,KA100-1,AD625-1,,"hawaii, palm, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA100-1_Hana_SECLUSION.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Brown,Smooth Topeka,,,,,,,,52,28.9,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hana,KA100,Solitude,Color Way,KA100-2,AD625-2,,"hawaii, palm, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA100-2_Hana_SOLITUDE.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Blue, Green",Smooth Topeka,,,,,,,,52,28.9,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hana,KA100,Tranquil,Color Way,KA100-3,AD625-3,,"hawaii, palm, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA100-3_Hana_TRANQUIL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA100-3_Hana_TRANQUIL_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,52,28.9,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hanalei,KA101,Haven,Color Way,KA101-1,AD626-1,,"hawaii, hibiscus, flower, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA101-1_Hanalei_HAVEN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA101-1_Hanalei_HAVEN_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,26,29.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hanalei,KA101,Retreat,Color Way,KA101-2,AD626-2,,"hawaii, hibiscus, flower, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA101-2_Hanalei_RETREAT.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Grey,Smooth Topeka,,,,,,,,26,29.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hanalei,KA101,Sanctum,Color Way,KA101-3,AD626-3,,"hawaii, hibiscus, flower, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA101-3_Hanalei_SANCTUM.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Green, Blue",Smooth Topeka,,,,,,,,26,29.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hilo,KA102,Jungle,Color Way,KA102-1,AD627-1,,"hawaii, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA102-1_Hilo_JUNGLE.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,52,34.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hilo,KA102,Overgrown,Color Way,KA102-2,AD627-2,,"hawaii, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA102-2_Hilo_OVERGROWN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA102-2_Hilo_OVERGROWN_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Green,Smooth Topeka,,,,,,,,52,34.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hilo,KA102,Tangled,Color Way,KA102-3,AD627-3,,"hawaii, leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA102-3_Hilo_TANGLED.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Blue,Smooth Topeka,,,,,,,,52,34.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Hoku,KA103,Euphoria,Color Way,KA103-1,AD628-1,,"hawaii, leaf, flower, bird of paradise",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA103-1_Hoku_EUPHORIA.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/KA103-1_Hoku_EUPHORIA_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,52,26.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
