websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name,variant_type,sku,description,keywords,images,,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",BN,Specialty,Exclusive Lines,Loft,218380,218380,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218380_room_web.jpg,218380,Master,218380,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218380.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218380_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Brown,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218381,218381,,218381,Master,218381,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218381.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218381_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Yellow,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218382,218382,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218382_room_web.jpg,218382,Master,218382,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218382.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218382_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Pink,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218383,218383,,218383,Master,218383,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218383.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218383_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Green,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218384,218384,,218384,Master,218384,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218384.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218384_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Grey,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218385,218385,,218385,Master,218385,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218385.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218385_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Grey,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218386,218386,,218386,Master,218386,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218386.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218386_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Grey,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218387,218387,,218387,Master,218387,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218387.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218387_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Grey,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218388,218388,,218388,Master,218388,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218388.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218388_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Brown,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
"A,H",BN,Specialty,Exclusive Lines,Loft,218389,218389,,218389,Master,218389,,"strie, striped, textured, linear, streak",https://s3.amazonaws.com/astek/Loft/218389.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Loft/218389_web.jpg,72.90,Roll,1,1,"Stripes + Plaid,Contemporary, Textural, Abstract",Grey,,Paper,20.5,11,,,,,,,3,Paste the Paper,Strippable,Scrubbable,Very Good,Class A,,,No
