websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Studio, Metallic",Patina,Acid Rain,AD303,Coral,Color Way,AD303-1,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD303-1_Acid_Rain_CORAL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD303-1_Patina_acidrain_CORAL_install.jpg,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural",Pink,Silver Spectre,,,,,,,,50,30,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Patina,Acid Rain,AD303,Indigo,Color Way,AD303-2,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD303-2_Acid_Rain_INDIGO.jpg,,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural",Blue,Silver Spectre,,,,,,,,50,30,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Patina,Acid Rain,AD303,Nimbus,Color Way,AD303-3,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD303-3_Acid_Rain_NIMBUS.jpg,,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural","Grey, Neutral",Silver Spectre,,,,,,,,50,30,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic, Murals",Patina,Copper,AD304,Oxidized,Color Way,AD304-1,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD304-1_Copper_OXIDIZED.jpg,,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural",Green,Silver Spectre,,,,,,,,125.46,98,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic, Murals",Patina,Copper,AD304,Rust,Color Way,AD304-2,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD304-2_Copper_RUST.jpg,,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural",Brown,Silver Spectre,,,,,,,,125.46,98,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic, Murals",Patina,Copper,AD304,Slate,Color Way,AD304-3,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD304-3_Copper_SLATE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD304-3_Patina_copper_SLATE_install.jpg,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural","Grey, Neutral",Silver Spectre,,,,,,,,125.46,98,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic, Murals",Patina,Corrugated,AD305,Black,Color Way,AD305-1,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD305-1_Corrugated_BLACK.jpg,,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural","Grey, Neutral",Silver Spectre,,,,,,,,74,98,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic, Murals",Patina,Corrugated,AD305,Blue,Color Way,AD305-2,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD305-2_Corrugated_BLUE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD305-2_Patina_corrugated_BLUE_install.jpg,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural",Blue,Silver Spectre,,,,,,,,74,98,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic, Murals",Patina,Corrugated,AD305,Beige,Color Way,AD305-3,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD305-3_Corrugated_BEIGE.jpg,,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural",Beige,Silver Spectre,,,,,,,,74,98,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic, Murals",Patina,Encrusted,AD306,Spectrum,Color Way,AD306-1,,"urban, grit, grunge, weathered, aged, surface",https://s3-us-west-2.amazonaws.com/astek-product-images/Patina/AD306-1_Encrusted_SPECTRUM.jpg,,6.99,Square Foot,1,1,"Faux Finish, Contemporary, Photographic, Textural",Multi,Silver Spectre,,,,,,,,96,96,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
